No ,Date & Year,Opponent,Venue,Result,Man of the match
95,08-May-13,Sunrises Hyderabad,Hyderabad,Won by 77 runs,Raina
96,12-May-13,Rajasthan Royals ,Jaipur,Lost by 5 wickets ,Watson
97,14-May-13,Delhi Daredevils ,Chennai ,Won by 33 runs,Dhoni 
98,18-May-13,Royal Challangers Bangalore,Bangalore,Lost 24 runs ,Kohli
99,21-May-13,Mumbai Indians ,Delhi,Won by 48 runs,Hussey
100,26-May-13,Mumbai Indians ,Kolkata,Lost by 23 runs,Pollard
101,18-Apr-14,KIngs Xl Punjab,Abu Dhabi,Lost by 6 wickets,Maxwell
102,21-Apr-14,Delhi Daredevils ,Abu Dhabi,Won by 93 runs,Raina
103,23-Apr-14,Rajasthan Royals ,Dubai,Won by 7 runs,Jadeja
104,25-Apr-14,Mumbai Indians ,Dubai,Won by 7 wickets,Mohit
105,27-Apr-14,Sunrises Hyderabad,Sharjah,Won by 5 wickets,D Smith
106,02-May-14,Kolkata Knight Riders,Ranchi,Won by 34 runs,Jadeja
107,05-May-14,Delhi Daredevils ,Delhi,Won by 8 wickets,D Smith
108,07-May-14,KIngs Xl Punjab,Cuttack,Lost by 44 runs,Maxwell
109,10-May-14,Mumbai Indians ,Mumbai,Won by 4 wickets ,D Smith
110,13-May-14,Rajasthan Royals ,Ranchi,Won by 5 wickets,Jadeja
111,18-May-14,Royal Challangers Bangalore,Ranchi,Lost by 5 wickets ,Ab d
112,20-May-14,Kolkata Knight Riders,Kolkata,Lost by 8 wickets ,Uthappa
113,22-May-14,Sunrises Hyderabad,Ranchi,Lost by 6 wickets,Warner
